date,sleep,food,meditation,phone_bed,birl,projects,phone_job,run,japanese,groom,nofap,videogames,youtube,anime,reading,tinder,studying,go_outisde,watch_eat,go_out
2022-04-23,False,True,False,True,True,True,True,False,True,False,False,False,True,True,False,False,False,False,True,False
2022-04-24,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False
2022-04-25,True,True,True,True,True,True,False,False,True,False,True,True,True,False,False,False,False,False,True,False
2022-04-26,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
